Region,Fylke,Kommuner
91,Troms,Tromsø;Karlsøy;Storfjord;Kåfjord;Skjervøy;Nordreisa;Kvænangen;Svalbard
91,Troms,Loppa
92,Troms,Tromsø
93,Troms,Lavangen;Bardu;Salangen;Målselv;Sørreisa;Dyrøy;Senja
94,Troms,Harstad;Kvæfjord;Tjeldsund;Ibestad;Gratangen
95,Finnmark,Alta;Kautokeino;Loppa;Hasvik
96,Finnmark,Hammerfest;Måsøy
97,Finnmark,Nordkapp;Porsanger;Karasjok;Lebesby;Gamvik
98,Finnmark,Vadsø;Tana;Nesseby
99,Finnmark,Vardø;Berlevåg;Båtsfjord;Sør-Varanger
